_id,School Name,Enrolled population,DTP coverage rate (%),DTP Religious exemption rate (%),MMR coverage rate (%),MMR Religious exemption rate (%),Lat,Lng
42,Bennington Heights Elementary,129,99.2,0.8,98.4,0.8,43.69388246,-79.36955263
43,Berner Trail Jr P.S.,158,98.1,0.0,96.8,0.0,43.80156209,-79.22135257
44,Bessborough Dr. EMS,419,91.9,2.1,96.4,2.1,43.70721474,-79.3701352
45,Beverley Heights Middle School,434,85.5,1.6,91.7,1.6,43.73302460000001,-79.50477172
46,Beverley School,64,84.4,4.7,87.5,4.7,43.65576524,-79.3957051
47,Beverly Glen Jr P.S.,284,97.9,1.4,98.6,1.4,43.7986531,-79.32306763
48,Birch Cliff Heights P.S.,188,96.3,0.5,97.9,0.5,43.70174139,-79.25981662
49,Birch Cliff P.S.,270,92.6,2.2,95.9,2.2,43.69198872,-79.26556862
50,Birchmount Park C.I.,833,85.1,0.8,96.2,0.8,43.69775303,-79.25945453
51,Bishop Allen Academy Catholic S.S.,1540,85.1,2.3,93.6,2.2,43.63442792,-79.50446469
52,Bishop Marrocco/Thomas Merton Catholic S.S.,686,81.0,0.7,91.3,0.7,43.65585783,-79.45180771
53,Blacksmith P.S.,93,92.5,1.1,95.7,1.1,43.77116396,-79.52681069
54,Blake Street Jr P.S.,200,96.0,2.5,96.5,2.5,43.67180637,-79.33847625
55,Blantyre P.S.,194,93.8,3.6,93.8,3.6,43.68510008,-79.28386465
56,Blaydon P.S.,99,93.9,1.0,92.9,1.0,43.73535722,-79.48625614
57,Blessed Cardinal Newman C.S.,973,84.8,1.0,96.1,0.9,43.71492227,-79.24006423
58,Blessed Margherita of Citta Castello C.S.,241,90.0,0.4,93.8,0.4,43.74367247,-79.50791404
59,Blessed Pier Giorgio Frassati C.S.,224,90.2,1.3,91.1,1.3,43.829875200000004,-79.23273752
60,Blessed Pope Paul Vi C.S.,228,87.7,0.0,90.4,0.0,43.674012899999994,-79.45779303
61,Blessed Sacrament C.S.,400,89.3,2.8,91.0,2.8,43.72748161,-79.40399752
62,Blessed Trinity C.S.,158,89.2,1.9,90.5,1.9,43.78689754,-79.3918262
63,Bliss Carman Senior P.S.,281,85.8,1.8,93.6,1.8,43.73264896,-79.22560188
64,Bloor C.I.,834,87.4,2.0,96.6,2.0,43.65955743,-79.43628284
65,Bloordale Middle School,368,89.4,3.5,95.7,3.5,43.63914565,-79.57194653
66,Bloorlea Middle School,286,92.3,2.4,95.5,2.4,43.63752088,-79.55530155
67,Blythwood Jr P.S.,269,97.0,2.6,96.7,2.2,43.7199315,-79.38950571
68,Bowmore Road Jr & Sr P.S.,705,92.2,3.1,95.7,3.0,43.67606366,-79.31449172
69,Boys' Leadership Academy,47,89.4,2.1,93.6,2.1,43.7222273,-79.55211379
70,Braeburn Jr School,93,95.7,1.1,92.5,1.1,43.72802983,-79.54886381
71,Brebeuf College School,852,81.6,1.1,90.6,1.1,43.80151617,-79.40303816
72,Brian P.S.,206,93.7,2.4,93.7,2.4,43.78171952,-79.3318066
73,Briarcrest Jr School,189,95.8,3.2,95.8,2.6,43.66646577,-79.58007528
74,Bridlewood Jr P.S.,147,93.2,2.0,91.8,2.0,43.78079627,-79.31509539
75,Brimwood Boulevard Jr P.S.,234,97.9,0.4,98.7,0.4,43.81169988,-79.27408966
76,Broadacres Jr P.S.,236,94.9,3.4,95.8,3.4,43.64806672,-79.57202073
77,Broadlands P.S.,341,94.1,5.3,93.5,5.3,43.74590267,-79.31662779999999
78,Brock P.S.,204,90.7,2.9,93.6,2.9,43.65304969,-79.43784413
79,Brookhaven P.S.,216,97.2,0.9,97.7,0.9,43.702506299999996,-79.4956944
80,Brookmill Boulevard Jr P.S.,152,100.0,0.0,98.0,0.0,43.80122038,-79.314868
81,Brookside P.S.,532,94.2,0.2,97.6,0.2,43.83057174,-79.23360752
82,Brookview Middle School,421,88.1,0.5,93.1,0.5,43.76745724,-79.51724666
83,Brown Jr P.S.,362,92.8,2.2,94.2,2.2,43.68491292,-79.40131227
84,Bruce Jr P.S.,138,95.7,1.4,97.1,1.4,43.66103582,-79.33333606
85,Buchanan P.S.,226,92.9,2.7,94.2,2.7,43.75152561,-79.29989207
86,Burrows Hall Jr P.S.,138,96.4,0.7,98.6,0.7,43.79269796,-79.22881801
87,C D Farquharson Jr P.S.,225,97.3,0.0,99.1,0.0,43.78446716,-79.26610554
88,C R Marchant Middle School,419,92.1,2.4,92.6,2.4,43.70172148,-79.51293340000001
89,C W Jefferys C.I.,738,85.6,1.5,93.6,1.5,43.75767646,-79.50009059
90,Calico P.S.,162,85.8,3.1,89.5,3.1,43.73790618,-79.50359204
91,Cameron P.S.,177,97.2,2.3,96.0,2.3,43.7543607,-79.42125155
92,Canadian Martyrs C.S.,243,88.1,0.4,87.7,0.4,43.69819992,-79.31933864
93,Cardinal Carter Academy for The Arts,780,83.2,2.7,96.3,2.8,43.76409501,-79.40976158
94,Cardinal Leger C.S.,224,91.1,0.4,93.8,0.4,43.793095799999996,-79.17570791
95,Carleton Village Jr and Sr P.S.,227,94.3,2.6,93.0,2.6,43.67235281,-79.46002879999999
96,Cassandra P.S.,166,97.6,1.8,97.6,1.8,43.74842501,-79.32890148
97,Cedar Drive Jr P.S.,419,96.4,0.7,95.5,0.7,43.74585281,-79.21505094
98,Cedarbrae C.I.,1019,85.0,1.2,94.9,1.1,43.7563409,-79.22592486
99,Cedarbrook P.S.,391,95.4,2.0,96.2,2.0,43.74729339,-79.23019275
100,Cedarvale Community School,293,95.2,2.7,94.9,2.7,43.69613028,-79.43032756
101,Centennial Road Jr P.S.,161,97.5,2.5,96.9,2.5,43.78696228,-79.15002381
102,Central Etobicoke High School,80,73.8,8.8,88.8,8.8,43.67901856,-79.55548893
103,Central Technical School,724,82.5,3.2,92.3,2.9,43.66270411,-79.40980856
104,Central Toronto Academy,503,78.5,4.0,88.5,4.0,43.65797846,-79.42199861
105,Chalkfarm P.S.,139,89.9,1.4,90.6,1.4,43.72710643,-79.51439274
106,Chaminade College School,913,89.6,1.0,97.8,1.0,43.71009096,-79.49605946
107,Charles E Webster P.S.,311,95.8,1.0,96.8,1.0,43.69343444,-79.47509952
108,Charles G Fraser Jr P.S.,138,92.8,2.2,94.9,2.2,43.64853008,-79.40948363
109,Charles Gordon Senior P.S.,328,87.8,2.1,94.5,2.1,43.7464559,-79.2609587
110,Charles H Best Middle School,347,86.7,1.7,89.3,1.7,43.76744525,-79.45863024
